username,tanggal_kritik,id_wahana,isi_kritik,-1
gisel,18/02/2020,AHI190,sangat memalukan
bayu,18/09/2020,AJH198,Permainan kurang inovatif
aurel,10/10/2020,AZA200,sangat tidak memuaskan
neymar,21/09/2020,KAI191,Permainan kurang menyenangkan
gisel,18/09/2020,UHJ191,Permainannya terlalu sulit
surya,19/09/2020,UHK190,Permainannya terlalu mahal
radhit,19/09/2020,UHK191,jelek sekali
andi,18/09/2020,YUK190,Permainan kurang menantang dan kurang asyik
irfan,19/09/2020,YUK190,Permainan kurang aman
aldi,19/09/2020,YUK190,Kurang kreatif
irfan,19/09/2020,YUK190,Permainannya terlalu mahal dan tidak seru
-1




















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































