Username,Tanggal Kehilangan,ID Wahana,Jumlah Hilang,-1
gisel,18/09/2020,KAI191,2,-1
radhit,19/09/2020,KAI191,2
zidan,19/09/2020,KAI191,2
radhit,17/09/2020,KAI191,2,-1
aurel,17/09/2020,KAI192,2,-1
aldi,19/08/2020,YUK190,1,-1
aldi,19/09/2020,YUK190,1,-1
irfan,19/09/2020,YUK190,1,-1
bayu,18/09/2020,AJH198,2,-1
-1





























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































