ID_Wahana,Nama_Wahana,Harga_Tiket,Batasan_Umur,Batasan_Tinggi,-1
UHK191,rolerkoster,15000,dewasa,>=170
AHI191, sepak takraw,16000,anak-anak,>=170
KAI190, waterboom,25000,semua umur,>=170
KLI190,badminton,30000,semua umur,>=170
UHK190, sepeda layang,15000,dewasa,>=170
AHI190, sepak bola,16000,anak-anak,>=170
KAI191, pesawat luncur,25000,semua umur,tanpa batasan
KLI191,lumba-lumba,30000,semua umur,>=170
UHJ191,Matematika,17000,anak-anak,tanpa batasan
AJH198,Sepeda Terbang,17000,dewasa,>=170
YUK190,Balon Udara,20000,dewasa,>=170
TKH190,Testing,17000,anak-anak,tanpa batasan
TKJ190,Baling - Baling,16000,anak-anak,tanpa batasan
AAB123,Angin,17500,semua umur,tanpa batasan
PAR167,Analisis Rangkaian,17000,dewasa,tanpa batasan
-1
















































































































































































































































































































































































































































































































































































































































































